lemma	distance
afternoon	0.01496417635200753
attack	0.03398223764246999
bag	0.03381558366455839
ball	0.03471603525736722
bar	0.03757408446472321
bit	0.03326174597967757
chairman	0.03637200145884534
chef	0.042550398886370466
circle	0.03941624482741857
contemplation	0.03875939635133907
donkey	0.035625620954823356
edge	0.032695365509218144
face	0.030847028266917098
fiction	0.03133488147731922
gas	0.03311055999868817
graft	0.035410521961513286
grain	0.03374951837274354
head	0.0336218446371529
heel	0.03307254388179148
include	0.03283316011170234
land	0.03218660833634135
lane	0.03257323028770631
lass	0.031945958664518326
maxim	0.03262758818375788
multitude	0.03208310641359824
ounce	0.031282932961086196
part	0.03117977452097198
pick	0.030870696303599954
pin	0.030386300047972825
plane	0.030951421698364956
player	0.031000482396558615
prop	0.031083516839171654
quilt	0.03051100179667887
rag	0.03007738384647185
rally	0.03088301785109815
record	0.030863401671281654
relationship	0.030804567177461717
risk	0.0308018293900163
savage	0.03053103183010608
stab	0.02982067735736238
stroke	0.029092949801258206
thump	0.02833174413604822
tip	0.02814248880141157
tree	0.02761662738532844
twist	0.027317742064431827
word	0.027086854271064276
