lemma	distance
afternoon	0.10445279449559966
attack	0.4273479043969273
bag	0.5473951947503707
ball	0.5886604184976606
bar	0.6219892690534016
bit	0.6401856128244496
chairman	0.6631733770309628
chef	0.6762600610066322
circle	0.6809855124069832
contemplation	0.6816521605467804
donkey	0.6803760915815
edge	0.6867467184108428
face	0.6952507459233419
fiction	0.7048601363681923
gas	0.7113229903261886
graft	0.7089887967962217
grain	0.710223422603713
head	0.7108716963093041
heel	0.7150149792063234
include	0.7177706907692066
land	0.7183213174959756
lane	0.7201761318660956
lass	0.7166910193478411
maxim	0.714364797134936
multitude	0.7170177463666513
ounce	0.719478019646063
part	0.7218201234362172
pick	0.72349509866367
pin	0.7250852659193536
plane	0.7258743977759134
player	0.7258199688171415
prop	0.7269743783650199
quilt	0.7256355842206265
rag	0.7262905984502672
rally	0.727655869486625
record	0.7290564423284112
relationship	0.7300679194417458
risk	0.7316409230424673
savage	0.7316581555476479
stab	0.7315495988533649
stroke	0.7319498833681217
thump	0.7325602429694386
tip	0.7326264876100456
tree	0.7328811856900214
twist	0.7327016165935116
word	0.733823554366448
