lemma	distance
afternoon	0.3240666670505744
attack	0.5920973980518464
bag	0.6682416676078042
ball	0.6984212894922354
bar	0.7195687457407678
bit	0.7284757512597151
chairman	0.7599924093313161
chef	0.7749890989113157
circle	0.7811551003189291
contemplation	0.7944750636216751
donkey	0.7965418751225563
edge	0.7943623005641731
face	0.7937413860250385
fiction	0.8004697312828011
gas	0.8050138293613256
graft	0.8083516040192082
grain	0.8073533312803832
head	0.8064220218717377
heel	0.8058159591820101
include	0.80707202641676
land	0.8069193521373724
lane	0.8076200897933529
lass	0.8098903669581832
maxim	0.8122603072742149
multitude	0.8139427637900809
ounce	0.8142603300890624
part	0.8133326817940127
pick	0.8140341680153507
pin	0.814418249914759
plane	0.8135690677308789
player	0.8133258731636015
prop	0.8135459789574545
quilt	0.8151335270123681
rag	0.8143217804208548
rally	0.8150083448760796
record	0.8137109341404327
relationship	0.8136406875414867
risk	0.8132007927624362
savage	0.8145478487935948
stab	0.813473858266432
stroke	0.813090261400561
thump	0.8120301281540697
tip	0.8116078493780828
tree	0.810592908446969
twist	0.8095545526607895
word	0.8081016608987542
